Question,Answer,Timestamp,Source
What is Voting by Mail?,"In most elections in Massachusetts, you can choose whether you prefer to vote in person or by mail. No-excuse early voting by mail is available for:",1726963200.0,Voting-Mass.gov
How do you apply for vote by mail ballot?,You can request your Vote by Mail ballot:,1726963200.0,Voting-Mass.gov
What are the Application Deadlines for voting by mail?,"Your mail-in application must reach your local election officials by 5 p.m. on the 5th business day before the election. No matter when the application is postmarked, your application must be at the local election office by the deadline.",1726963200.0,Voting-Mass.gov
How to return your vote by mail ballot?,There are several options for returning your ballot. You may return your ballot by:,1726963200.0,Voting-Mass.gov
How to vote in Person?,You can still vote in person if:,1726963200.0,Voting-Mass.gov
How to vote by mail in Local Elections?,State law allows cities and towns to opt out of no-excuse early voting by mail in local elections. A city or town can only opt out of Vote by Mail for a local election after the city council or board of selectmen hold a public hearing and take a recorded vote to do so at least 45 days before the election.,1726963200.0,Voting-Mass.gov
What are the Vote by Mail Accommodations?,"If you have a disability that prevents you from marking a paper ballot independently, you may qualify to use the Accessible Vote by Mail system. Visit our page for voters with disabilities to find more information and an Accessible Vote by Mail Application.",1726963200.0,Voting-Mass.gov
Who can Register to Vote?,You can register to vote in Massachusetts if you are:,1726963200.0,Voting-Mass.gov
What are the Voter Registration Deadlines?,"The deadline to register to vote, update your registration, or change your party is 10 days before any election or town meeting.",1726963200.0,Voting-Mass.gov
How do New Citizens register to vote?,"You can register to vote as soon as you are naturalized. You will need to register using a paper form, either by mail or in person, until the next time you renew your driver’s license or state ID with the Registry of Motor Vehicles. The RMV can’t verify your identity to use the Online Voter Registration System until you provide them with proof of citizenship.",1726963200.0,Voting-Mass.gov
How to register to vote online?,"If you have a signature on file with the Massachusetts Registry of Motor Vehicles, you can register online. You can also pre-register, update your address, update your name, and change your political party designation.",1726963200.0,Voting-Mass.gov
How to register to vote by mail?,"You can register or pre-register to vote with a mail-in voter registration form. Print, fill out, and sign the voter registration form. Mail the signed form to your local election office. Your voter registration form must be postmarked by the voter registration deadline.",1726963200.0,Voting-Mass.gov
How to register to vote In-Person?,You can register or pre-register to vote in person.,1726963200.0,Voting-Mass.gov
What is Automatic Voter Registration?,"If you are a Massachusetts citizen doing certain things at the Registry of Motor Vehicles, MassHealth, and the Commonwealth Health Connector, you will automatically become registered to vote.",1726963200.0,Voting-Mass.gov
Do I still need to register to vote?,"You should still register to vote every time you move. You will only be automatically registered if you perform specific actions at the RMV, MassHealth, or the Health Connector and you haven’t already updated your voter registration.",1726963200.0,Voting-Mass.gov
How does automatic voter registration work?,"If the RMV, MassHealth, or the Health Connector determines that you are a United States citizen, they will send your information to the election office. When your election office receives your name, address, and date of birth, they will add you to the voter list. They will send a notice confirming your registration in 2-3 weeks.",1726963200.0,Voting-Mass.gov
Can I opt out of registering?,"State law no longer allows you to opt out of registration during your transaction. Instead, you will be sent a notice by mail to inform you of your automatic registration, and that notice will explain how you can remove your name from the voter list.",1726963200.0,Voting-Mass.gov
"If I’m already registered, will I be registered to vote twice?","No. If you are already registered to vote at your current address, nothing will change. If you are registered to vote at a different address in Massachusetts, your address will be updated with your new registration.",1726963200.0,Voting-Mass.gov
What if I am not the one completing my health insurance application?,"You will not be registered to vote. Automatic voter registration does not apply to applications completed for someone else. If you are applying for a family, only the person who signs the form will be registered to vote.",1726963200.0,Voting-Mass.gov
What if I move?,"If you are re-applying for health insurance or a driver's license when you update your address, you will be automatically registered to vote at your new address. If you are merely updating your address, you should submit a new voter registration form when you move. You can update your address for voter registration purposes online.",1726963200.0,Voting-Mass.gov
What if I am not a U.S. citizen?,"You will not be registered to vote. Automatic registration only takes place at agencies that collect citizenship information. You can only be automatically registered to vote if you have provided the agency with a copy of a U.S. birth certificate, U.S. passport, or U.S. naturalization papers.",1726963200.0,Voting-Mass.gov
Where Do I Find Election Results?,Elections results are often separated into two categories: unofficial and official. Unofficial results are announced by poll workers shortly after polls close on Election Night. These results are typically shared with media organizations and may be posted online by local election officials. Unofficial results are subject to change as additional ballots are counted and tallies are confirmed. We do not publish unofficial election results. Official results are final election results that have been certified by local clerks and submitted to our office. We publish official on our election results database after we receive and review them. Learn more about the certification of election results below.,1726963200.0,Voting-Mass.gov
Where do I find Unofficial Results?,"Unofficial election results are often released by local officials to media organizations on Election Night. However, local officials don’t report unofficial results to the state. We receive election results from cities and towns only after local clerks finalize and certify them. Unofficial results typically don’t include write-in, provisional, military, or overseas ballots. They also don’t separate mail-in vote tallies from in-person vote tallies. Any totals reported on Election Night include all methods of voting (mail, early, and Election Day). For elections requiring all ballots to be counted on Election Night, it may take a few hours to complete the count. Last-minute ballot drop box returns may delay the reporting of results, as the ballots must be sent to the local election office for signature verification and then counted after voter lists are returned from polling places. If last-minute ballot returns will cause significant delays in reporting unofficial totals, officials may release partial precinct results. Partial results will include all votes except for ballots returned to drop boxes shortly before the close of polls. When those votes are counted, officials will update the results.",1726963200.0,Voting-Mass.gov
Where do I find Official Results?,"We publish final, certified official results to our election results database. Local officials must certify results before they can be certified at the state level. After each state election and primary, local election officials must review tally sheets, resolve remaining ballots, and finalize results. They have a set period of days to submit official results: State Election: 15 days State Primary: 4 days Presidential Primary: 4 days In this post-election certification period, local election officials must: Investigate provisional ballots and count eligible votes Review write-in vote tallies to ensure an accurate count Confirm vote tallies by precinct Wait 10 days for overseas ballots to arrive in the mail (state elections only) Count mail ballots that arrive on or after Election Day (state elections only) Conduct random post-election audits (presidential elections only) After local election officials certify the results, they submit them to our office for state certification. For state elections, we then present the election results to the Governor and Governor’s Council for final certification. This final certification typically occurs in late November or early December, depending on the Governor’s Council’s meeting schedule. If you have any questions about election results, contact our office or your local election office.",1726963200.0,Voting-Mass.gov
What are the State Elections & Primaries polling hours?,"For state elections, state primaries, and presidential primaries, all polling places will be open on Election Day from 7 a.m. until 8 p.m.",1726963200.0,Voting-Mass.gov
What are the Local Elections polling hours?,Polling hours in city and town elections vary by community. Contact your local election office to find out what time polls will be open for your local election.,1726963200.0,Voting-Mass.gov
What are the Early Voting polling hours?,Early voting hours are usually different from Election Day polling hours. The early voting schedule in your community is set by local officials. Visit our Early Voting page for more information on early voting hours.,1726963200.0,Voting-Mass.gov
What are the Identification Requirements?,"You may need to show identification when you check-in at your polling place if: You are voting for the first time in Massachusetts You’re on the inactive voter list You're casting a provisional or challenged ballot The poll worker has a practical and legal reason to ask for identification Identification needs to show your name and the address where you are registered to vote. Examples of acceptable identification are: A driver's license A state ID card A recent utility bill A rent receipt or lease. A copy of a voter registration affidavit A letter from a school dormitory or housing office Any other printed identification which contains your name and address If you need to show identification because you’re voting for the first time and you don’t have identification with you, you can cast a provisional ballot. If you return with identification before the polls close, your ballot will be counted. If you need to show identification for any other reason and you’re not able to do so, you can cast a challenged ballot. Your name and address, the challenger’s name and address, and the reason for the challenge will be written on your ballot. Your ballot will be cast as normal and only examined if there is a recount, court order, or audit.",1726963200.0,Voting-Mass.gov
Who are Inactive Voters?,"If you don’t respond to the Annual Street List, you’ll be put on the inactive voter list. If you are on the inactive voter list, you can still vote. Bring identification to your polling place. You must fill out an Affirmation of Current and Continuous Residence. This allows you to cast your ballot. You’ll be added to the active voter list. If you do not vote in two consecutive federal elections while you’re inactive, you will no longer be registered to vote. You should register to vote again.",1726963200.0,Voting-Mass.gov
What is The Annual Street List?,"Every year, each city and town gathers resident information for an Annual Street List. This is also known as a city or town census. Your city or town will mail you a form. Fill it out, sign it and mail it back to confirm your address. If you don’t respond to the Annual Street List, you will be put on the inactive voters list. Your local election office will mail you a notice. If you sign it and return it you will be removed from the inactive voters list. You can also submit a new voter registration form or send proof of your address that includes your signature to your local election office.",1726963200.0,Voting-Mass.gov
How do Inactive voters vote?,"If you are an inactive voter, it will be indicated on the list of voters when you check-in at your polling place. Before you can vote, you will be required to complete an Affirmation of Current and Continuous Residence. On this form, you must affirm that you continue to reside at the address at which you are registered, have moved within the same town, or have moved from one municipality to another Massachusetts municipality within six months of a state election. You will also be asked to present identification which shows your name and the address at which you are registered to vote. It is not required that you present photo identification. Acceptable forms of identification include: A driver's license A state-issued ID card A recent utility bill A rent receipt A lease A copy of a voter registration affidavit Any other printed identification which contains your name and address As soon as you have completed the Affirmation of Current and Continuous Residence, you will be restored to the active voters list.",1726963200.0,Voting-Mass.gov
How to be Removed from the List of Inactive Voters?,"Inactive voters remain registered to vote until they fail to vote in two consecutive biennial state elections. Inactive voters are restored to the active voters list any time they complete an Affirmation of Current and Continuous Residence, fill out a new voter registration form, or submit anything to their local election official which is signed under penalty of perjury and confirms the voter's address.",1726963200.0,Voting-Mass.gov
What are Provisional Ballots?,"If you’re not on the voters list when you check in to vote, or if your information on the list is wrong, you can cast a provisional ballot. If your local election office confirms that you’re registered to vote, your ballot will be counted. If your voter registration status can’t be confirmed, your ballot will be destroyed and not counted.",1726963200.0,Voting-Mass.gov
What are Reasons for Voting Provisionally?,Name is not on the Voter List,1726963200.0,Voting-Mass.gov
